commons-io:commons-io:1.4 is dependency of org.apache.felix:org.apache.felix.webconsole:4.2.0, indexing...
commons-io:commons-io:1.4 indexed.
commons-io:commons-io:1.4 is dependency of org.apache.felix:org.apache.felix.webconsole:4.0.0, indexing...
commons-io:commons-io:1.4 is dependency of org.apache.felix:org.apache.felix.webconsole.plugins.packageadmin:1.0.0, indexing...
commons-io:commons-io:1.4 is dependency of org.apache.felix:org.apache.felix.webconsole.plugins.packageadmin:1.0.2, indexing...
commons-io:commons-io:1.4 is dependency of org.apache.felix:org.apache.felix.webconsole.plugins.packageadmin:1.0.4, indexing...
commons-io:commons-io:1.4 is dependency of org.apache.felix:org.apache.felix.webconsole:4.2.2, indexing...
commons-io:commons-io:1.4 is dependency of org.apache.felix:org.apache.felix.webconsole:4.2.4, indexing...
commons-io:commons-io:1.4 is dependency of org.apache.felix:org.apache.felix.webconsole.plugins.scriptconsole:1.0.0, indexing...
commons-io:commons-io:1.4 is dependency of org.apache.felix:org.apache.felix.webconsole:4.2.6, indexing...
commons-io:commons-io:1.4 is dependency of org.apache.felix:org.apache.felix.webconsole:4.2.8, indexing...
commons-io:commons-io:1.4 is dependency of org.apache.felix:org.apache.felix.webconsole:4.2.10, indexing...
commons-io:commons-io:1.4 is dependency of org.apache.felix:org.apache.felix.webconsole:4.2.12, indexing...
commons-io:commons-io:1.4 is dependency of org.apache.felix:org.apache.felix.webconsole:4.2.14, indexing...
commons-io:commons-io:1.4 is dependency of org.apache.felix:org.apache.felix.webconsole.plugins.scriptconsole:1.0.2, indexing...
commons-io:commons-io:1.4 is dependency of org.apache.felix:org.apache.felix.webconsole:4.2.16, indexing...
commons-io:commons-io:1.4 is dependency of org.apache.felix:org.apache.felix.webconsole:4.2.18, indexing...
commons-io:commons-io:1.4 is dependency of org.apache.felix:org.apache.felix.webconsole:4.3.0, indexing...
commons-io:commons-io:1.4 is dependency of org.apache.felix:org.apache.felix.webconsole:4.3.2, indexing...
commons-io:commons-io:1.4 is dependency of org.apache.felix:org.apache.felix.webconsole:4.3.4, indexing...
commons-io:commons-io:1.4 is dependency of org.apache.felix:org.apache.felix.webconsole:4.3.8, indexing...
commons-io:commons-io:1.4 is dependency of org.apache.felix:org.apache.felix.webconsole:4.3.10, indexing...
commons-io:commons-io:1.4 is dependency of org.apache.felix:org.apache.felix.webconsole:4.3.12, indexing...
commons-io:commons-io:1.4 is dependency of org.apache.felix:org.apache.felix.webconsole:4.3.14, indexing...
commons-io:commons-io:1.4 is dependency of org.apache.felix:org.apache.felix.webconsole:4.3.16, indexing...
commons-io:commons-io:2.2 is dependency of commons-fileupload:commons-fileupload:1.3.3, indexing...
commons-io:commons-io:2.2 indexed.
commons-io:commons-io:2.2 is dependency of commons-fileupload:commons-fileupload:1.4, indexing...
commons-io:commons-io:2.4 is dependency of org.apache.maven.shared:maven-shared-utils:3.0.0, indexing...
commons-io:commons-io:2.4 indexed.
commons-io:commons-io:2.5 is dependency of org.apache.maven.shared:maven-shared-utils:3.1.0, indexing...
commons-io:commons-io:2.5 indexed.
commons-io:commons-io:2.5 is dependency of org.apache.maven.shared:maven-shared-utils:3.2.1, indexing...
commons-io:commons-io:2.5 is dependency of org.codehaus.plexus:plexus-io:3.0.0, indexing...
commons-io:commons-io:2.5 is dependency of org.apache.felix:osgicheck-maven-plugin:0.1.0, indexing...
commons-io:commons-io:2.5 is dependency of org.apache.felix:org.apache.felix.webconsole:4.4.0, indexing...
commons-io:commons-io:2.5 is dependency of org.apache.felix:org.apache.felix.webconsole:4.5.0, indexing...
commons-io:commons-io:2.5 is dependency of org.apache.felix:org.apache.felix.webconsole:4.5.2, indexing...
commons-io:commons-io:2.5 is dependency of org.apache.felix:org.apache.felix.webconsole:4.5.4, indexing...
commons-io:commons-io:2.5 is dependency of org.apache.felix:org.apache.felix.webconsole:4.6.0, indexing...
commons-io:commons-io:2.6 is dependency of org.apache.felix:org.apache.felix.http.jetty:4.0.8, indexing...
commons-io:commons-io:2.6 indexed.
commons-io:commons-io:2.6 is dependency of org.apache.felix:org.apache.felix.http.jetty:4.0.10, indexing...
commons-io:commons-io:2.6 is dependency of org.apache.felix:org.apache.felix.http.jetty:4.0.12, indexing...
commons-io:commons-io:2.6 is dependency of org.apache.felix:org.apache.felix.http.jetty:4.0.14, indexing...
commons-io:commons-io:2.6 is dependency of org.apache.felix:org.apache.felix.http.jetty:4.0.16, indexing...
commons-io:commons-io:2.6 is dependency of org.apache.felix:org.apache.felix.http.jetty:4.0.18, indexing...
commons-io:commons-io:2.6 is dependency of org.apache.felix:org.apache.felix.http.jetty:4.0.20, indexing...
commons-io:commons-io:2.6 is dependency of org.apache.felix:org.apache.felix.http.jetty:4.1.0, indexing...
commons-io:commons-io:2.6 is dependency of org.apache.felix:org.apache.felix.http.jetty:4.1.2, indexing...
commons-io:commons-io:2.6 is dependency of org.apache.felix:org.apache.felix.http.jetty:4.1.4, indexing...
commons-io:commons-io:2.6 is dependency of org.apache.felix:org.apache.felix.http.bridge:4.0.0, indexing...
commons-io:commons-io:2.6 is dependency of org.apache.felix:org.apache.felix.http.bridge:4.0.2, indexing...
commons-io:commons-io:2.6 is dependency of org.apache.felix:org.apache.felix.http.bridge:4.0.4, indexing...
commons-io:commons-io:2.6 is dependency of org.apache.felix:org.apache.felix.http.bridge:4.0.6, indexing...
commons-io:commons-io:2.6 is dependency of org.apache.felix:org.apache.felix.http.bridge:4.0.8, indexing...
